Group,n_hh,n_samples,pos_rate,Macro_F1,Binary_F1,AUC_ROC
G2: Low-risk HH  (<2%),3,11378,0.1499,0.6538,0.4433,0.7671
G3: Mid-risk HH  (2-5%),2,12192,0.2474,0.7348,0.6266,0.8358
G4: All test HH,5,23570,0.2003,0.7052,0.5566,0.8114
G5: Train HH (in-dist),18,71639,0.2135,0.7296,0.5921,0.8459
