Variant,Macro_F1,Binary_F1,AUC_ROC
Causal Graph (PCMCI),0.4604,0.2382,0.4617
Fully-Connected Graph,0.4534,0.2248,0.4529
Random Graph,0.4788,0.1871,0.4567
No Inter-Sensor Edges,0.4761,0.2211,0.4696
