Source,Target,Lag,Lag_min,Val_corr,P_value,HH_ID
Risk_bin,HeartRate,5,50,-0.0199,0.0109,A0002
Activity_IR,HeartRate,6,60,-0.0132,0.0267,A0002
HeartRate,HeartRate,6,60,-0.0022,0.02,A0002
BreathRate,HeartRate,6,60,0.0113,0.0048,A0002
StressIndex,HeartRate,6,60,-0.0285,0.0083,A0002
Temperature,HeartRate,6,60,0.0259,0.0022,A0002
Humidity,HeartRate,6,60,0.0061,0.045,A0002
Risk_bin,HeartRate,6,60,-0.0152,0.0073,A0002
Activity_IR,Humidity,1,10,0.0527,0.0,A0002
HeartRate,Humidity,1,10,-0.0087,0.0232,A0002
StressIndex,Humidity,1,10,0.0056,0.0018,A0002
Temperature,Humidity,1,10,-0.1283,0.0,A0002
Humidity,Humidity,1,10,0.6916,0.0,A0002
CO2,Humidity,1,10,0.1052,0.0,A0002
TVOC,Humidity,1,10,-0.0379,0.0002,A0002
Activity_IR,Humidity,2,20,-0.0638,0.0,A0002
BreathRate,Humidity,2,20,-0.0009,0.0482,A0002
StressIndex,Humidity,2,20,-0.0157,0.0391,A0002
Temperature,Humidity,2,20,-0.0157,0.014,A0002
Humidity,Humidity,2,20,0.0049,0.001,A0002
Activity_IR,Humidity,3,30,0.0293,0.0322,A0002
BreathRate,Humidity,3,30,-0.034,0.0234,A0002
Temperature,Humidity,3,30,-0.004,0.0044,A0002
Humidity,Humidity,3,30,-0.0094,0.0053,A0002
TVOC,Humidity,3,30,0.0006,0.0343,A0002
Risk_bin,Humidity,3,30,0.0154,0.0403,A0002
HeartRate,Humidity,4,40,0.0445,0.0159,A0002
BreathRate,Humidity,4,40,-0.021,0.0203,A0002
StressIndex,Humidity,4,40,-0.0363,0.0002,A0002
CO2,Humidity,4,40,-0.0024,0.0088,A0002
TVOC,Humidity,4,40,-0.0038,0.0422,A0002
Activity_IR,Humidity,5,50,0.0189,0.0404,A0002
HeartRate,Humidity,5,50,0.0071,0.0032,A0002
Humidity,Humidity,5,50,-0.0122,0.0089,A0002
TVOC,Humidity,5,50,-0.0163,0.0398,A0002
Risk_bin,Humidity,5,50,-0.0121,0.0337,A0002
Activity_IR,Humidity,6,60,-0.0157,0.0007,A0002
HeartRate,Humidity,6,60,0.0212,0.0256,A0002
Temperature,Humidity,6,60,0.019,0.0446,A0002
Humidity,Humidity,6,60,0.0399,0.0085,A0002
Activity_IR,Risk_bin,1,10,0.0033,0.0082,A0002
CO2,Risk_bin,1,10,-0.0124,0.0448,A0002
Risk_bin,Risk_bin,1,10,0.3477,0.0,A0002
HeartRate,Risk_bin,2,20,-0.0197,0.0283,A0002
BreathRate,Risk_bin,2,20,-0.01,0.0189,A0002
Temperature,Risk_bin,2,20,-0.008,0.0476,A0002
Risk_bin,Risk_bin,2,20,0.1518,0.0,A0002
BreathRate,Risk_bin,3,30,-0.0272,0.0112,A0002
Risk_bin,Risk_bin,3,30,0.0033,0.0,A0002
BreathRate,Risk_bin,4,40,-0.0172,0.0163,A0002
StressIndex,Risk_bin,4,40,-0.0072,0.0163,A0002
CO2,Risk_bin,4,40,-0.0088,0.029,A0002
TVOC,Risk_bin,4,40,0.0169,0.0015,A0002
Risk_bin,Risk_bin,4,40,0.0229,0.0032,A0002
HeartRate,Risk_bin,5,50,-0.0241,0.0154,A0002
BreathRate,Risk_bin,5,50,-0.0472,0.0087,A0002
Risk_bin,Risk_bin,5,50,0.0353,0.0216,A0002
CO2,Risk_bin,6,60,-0.023,0.0053,A0002
Activity_IR,StressIndex,1,10,-0.0086,0.0272,A0002
HeartRate,StressIndex,1,10,-0.0889,0.0002,A0002
StressIndex,StressIndex,1,10,0.1934,0.0,A0002
Temperature,StressIndex,1,10,0.0128,0.0007,A0002
