Source,Target,Lag,Lag_min,Val_corr,P_value,HH_ID
Humidity,HeartRate,4,40,0.0037,0.0041,A0008
Risk_bin,HeartRate,4,40,-0.0027,0.004,A0008
Activity_IR,HeartRate,5,50,-0.027,0.0107,A0008
HeartRate,HeartRate,5,50,0.0385,0.0,A0008
Humidity,HeartRate,5,50,0.0043,0.0027,A0008
CO2,HeartRate,5,50,-0.0216,0.0375,A0008
TVOC,HeartRate,5,50,0.0126,0.0301,A0008
Risk_bin,HeartRate,6,60,-0.0446,0.0161,A0008
Activity_IR,Humidity,1,10,-0.0282,0.0176,A0008
Temperature,Humidity,1,10,-0.1404,0.0,A0008
Humidity,Humidity,1,10,0.7314,0.0,A0008
CO2,Humidity,1,10,0.0469,0.0139,A0008
TVOC,Humidity,1,10,0.0435,0.0158,A0008
Risk_bin,Humidity,1,10,0.0332,0.0002,A0008
Activity_IR,Humidity,2,20,-0.0214,0.0355,A0008
StressIndex,Humidity,2,20,-0.0393,0.0038,A0008
Temperature,Humidity,2,20,-0.0851,0.0,A0008
Humidity,Humidity,2,20,-0.1171,0.0,A0008
TVOC,Humidity,2,20,0.0062,0.0044,A0008
Activity_IR,Humidity,3,30,0.0078,0.0087,A0008
Temperature,Humidity,3,30,-0.0677,0.0014,A0008
Humidity,Humidity,3,30,0.0057,0.0292,A0008
HeartRate,Humidity,4,40,-0.0296,0.0,A0008
BreathRate,Humidity,4,40,-0.0223,0.02,A0008
Temperature,Humidity,4,40,-0.0001,0.0225,A0008
Humidity,Humidity,4,40,0.0236,0.0317,A0008
Activity_IR,Humidity,5,50,0.0037,0.0457,A0008
Temperature,Humidity,5,50,-0.0015,0.0066,A0008
TVOC,Humidity,5,50,0.0059,0.0255,A0008
Activity_IR,Humidity,6,60,-0.0195,0.0072,A0008
BreathRate,Humidity,6,60,0.0092,0.0305,A0008
Activity_IR,Risk_bin,1,10,-0.0532,0.0076,A0008
HeartRate,Risk_bin,1,10,-0.0391,0.0003,A0008
Risk_bin,Risk_bin,1,10,0.3816,0.0,A0008
BreathRate,Risk_bin,2,20,-0.0454,0.0066,A0008
Temperature,Risk_bin,2,20,-0.0102,0.0298,A0008
Risk_bin,Risk_bin,2,20,0.1566,0.0,A0008
Temperature,Risk_bin,3,30,0.0098,0.0186,A0008
CO2,Risk_bin,3,30,0.0151,0.0326,A0008
TVOC,Risk_bin,3,30,0.036,0.0062,A0008
Risk_bin,Risk_bin,3,30,0.0711,0.0,A0008
BreathRate,Risk_bin,4,40,-0.0314,0.0073,A0008
StressIndex,Risk_bin,4,40,0.0118,0.0206,A0008
Risk_bin,Risk_bin,4,40,0.0642,0.0005,A0008
CO2,Risk_bin,5,50,0.0036,0.0324,A0008
TVOC,Risk_bin,5,50,0.0321,0.0054,A0008
HeartRate,StressIndex,1,10,-0.0682,0.0277,A0008
StressIndex,StressIndex,1,10,0.159,0.0,A0008
HeartRate,StressIndex,2,20,-0.0222,0.0064,A0008
BreathRate,StressIndex,2,20,0.0142,0.0019,A0008
StressIndex,StressIndex,2,20,0.1091,0.0,A0008
Temperature,StressIndex,2,20,0.0244,0.0314,A0008
Risk_bin,StressIndex,2,20,-0.03,0.0363,A0008
HeartRate,StressIndex,3,30,-0.0082,0.0172,A0008
StressIndex,StressIndex,3,30,0.0442,0.023,A0008
Temperature,StressIndex,3,30,0.0032,0.0005,A0008
Humidity,StressIndex,3,30,0.0009,0.041,A0008
Activity_IR,StressIndex,4,40,0.0295,0.0054,A0008
StressIndex,StressIndex,4,40,0.0527,0.0008,A0008
Humidity,StressIndex,4,40,-0.0061,0.0228,A0008
Activity_IR,StressIndex,5,50,0.0104,0.0282,A0008
StressIndex,StressIndex,5,50,0.0528,0.0008,A0008
Temperature,StressIndex,5,50,-0.017,0.0071,A0008
Humidity,StressIndex,5,50,-0.0207,0.0186,A0008
CO2,StressIndex,5,50,0.0048,0.0007,A0008
TVOC,StressIndex,5,50,-0.0169,0.0017,A0008
HeartRate,StressIndex,6,60,-0.0218,0.005,A0008
StressIndex,StressIndex,6,60,-0.01,0.0,A0008
Humidity,StressIndex,6,60,0.0135,0.0187,A0008
TVOC,StressIndex,6,60,0.004,0.0297,A0008
Activity_IR,TVOC,1,10,0.0342,0.0135,A0008
BreathRate,TVOC,1,10,0.0056,0.0404,A0008
CO2,TVOC,1,10,0.0364,0.0007,A0008
TVOC,TVOC,1,10,-0.0462,0.005,A0008
Risk_bin,TVOC,1,10,-0.0211,0.0002,A0008
CO2,TVOC,2,20,0.0438,0.0014,A0008
TVOC,TVOC,2,20,-0.02,0.0,A0008
Activity_IR,TVOC,3,30,0.0115,0.0316,A0008
StressIndex,TVOC,3,30,0.009,0.0001,A0008
CO2,TVOC,3,30,0.054,0.0,A0008
TVOC,TVOC,3,30,-0.025,0.0495,A0008
Risk_bin,TVOC,3,30,0.0053,0.0192,A0008
Activity_IR,TVOC,4,40,0.014,0.0088,A0008
HeartRate,TVOC,4,40,-0.0044,0.0332,A0008
Humidity,TVOC,4,40,-0.0416,0.0358,A0008
CO2,TVOC,4,40,0.0078,0.0002,A0008
TVOC,TVOC,4,40,-0.0266,0.0014,A0008
Risk_bin,TVOC,4,40,0.0082,0.0253,A0008
HeartRate,TVOC,5,50,0.0301,0.0,A0008
StressIndex,TVOC,5,50,-0.0111,0.0107,A0008
Temperature,TVOC,5,50,-0.0031,0.0006,A0008
Humidity,TVOC,5,50,0.0236,0.0037,A0008
CO2,TVOC,5,50,0.036,0.0005,A0008
TVOC,TVOC,5,50,-0.0283,0.0116,A0008
Humidity,TVOC,6,60,-0.0458,0.0146,A0008
CO2,TVOC,6,60,0.0224,0.0,A0008
TVOC,TVOC,6,60,-0.0268,0.0008,A0008
Activity_IR,Temperature,1,10,0.0664,0.0056,A0008
Temperature,Temperature,1,10,0.8251,0.0,A0008
Humidity,Temperature,1,10,0.1455,0.0,A0008
CO2,Temperature,1,10,0.0615,0.0,A0008
HeartRate,Temperature,2,20,0.0028,0.0109,A0008
StressIndex,Temperature,2,20,0.0043,0.0383,A0008
Temperature,Temperature,2,20,-0.2856,0.0,A0008
Humidity,Temperature,2,20,-0.106,0.0,A0008
CO2,Temperature,2,20,0.0192,0.0362,A0008
Risk_bin,Temperature,2,20,-0.0105,0.0048,A0008
HeartRate,Temperature,3,30,-0.0033,0.0482,A0008
Temperature,Temperature,3,30,0.0404,0.0122,A0008
Humidity,Temperature,3,30,-0.0358,0.0001,A0008
CO2,Temperature,3,30,0.0274,0.0008,A0008
Risk_bin,Temperature,3,30,-0.0137,0.0006,A0008
Activity_IR,Temperature,4,40,0.0159,0.0088,A0008
BreathRate,Temperature,4,40,-0.0065,0.0023,A0008
Humidity,Temperature,4,40,-0.0445,0.0011,A0008
Temperature,Temperature,5,50,-0.0256,0.0,A0008
Humidity,Temperature,5,50,-0.0324,0.002,A0008
BreathRate,Temperature,6,60,0.0077,0.0374,A0008
Humidity,Temperature,6,60,-0.0238,0.0001,A0008
Activity_IR,Activity_IR,1,10,0.3917,0.0,A0010
HeartRate,Activity_IR,1,10,-0.0043,0.0129,A0010
StressIndex,Activity_IR,1,10,0.0331,0.0006,A0010
Temperature,Activity_IR,1,10,0.067,0.0,A0010
Humidity,Activity_IR,1,10,0.0066,0.0138,A0010
CO2,Activity_IR,1,10,0.0016,0.0293,A0010
TVOC,Activity_IR,1,10,-0.0077,0.0306,A0010
Activity_IR,Activity_IR,2,20,0.0288,0.0069,A0010
StressIndex,Activity_IR,2,20,0.0254,0.0195,A0010
Temperature,Activity_IR,2,20,-0.0068,0.01,A0010
Activity_IR,Activity_IR,3,30,0.0365,0.0185,A0010
Temperature,Activity_IR,3,30,-0.0083,0.0446,A0010
Humidity,Activity_IR,3,30,0.0277,0.0455,A0010
TVOC,Activity_IR,3,30,-0.0083,0.0292,A0010
HeartRate,Activity_IR,4,40,0.0519,0.0,A0010
BreathRate,Activity_IR,4,40,0.0281,0.0052,A0010
StressIndex,Activity_IR,4,40,-0.017,0.0277,A0010
Humidity,Activity_IR,4,40,0.0203,0.0287,A0010
CO2,Activity_IR,4,40,0.0226,0.0207,A0010
TVOC,Activity_IR,4,40,0.0233,0.0162,A0010
HeartRate,Activity_IR,5,50,-0.0184,0.0199,A0010
StressIndex,Activity_IR,5,50,-0.0311,0.0052,A0010
Humidity,Activity_IR,5,50,0.0013,0.0257,A0010
HeartRate,BreathRate,1,10,0.0764,0.0003,A0010
BreathRate,BreathRate,1,10,0.3011,0.0,A0010
Temperature,BreathRate,1,10,0.0044,0.0159,A0010
Risk_bin,BreathRate,1,10,-0.0209,0.004,A0010
HeartRate,BreathRate,2,20,0.0232,0.0331,A0010
BreathRate,BreathRate,2,20,0.0777,0.0002,A0010
Temperature,BreathRate,2,20,0.0277,0.0304,A0010
CO2,BreathRate,2,20,-0.0046,0.0001,A0010
TVOC,BreathRate,2,20,0.024,0.0,A0010
Activity_IR,BreathRate,3,30,-0.0163,0.0056,A0010
HeartRate,BreathRate,3,30,-0.0131,0.0331,A0010
BreathRate,BreathRate,3,30,0.0823,0.0004,A0010
Temperature,BreathRate,3,30,-0.0293,0.0114,A0010
Risk_bin,BreathRate,3,30,0.0052,0.0229,A0010
BreathRate,BreathRate,4,40,0.0424,0.0,A0010
Humidity,BreathRate,4,40,0.0108,0.0354,A0010
TVOC,BreathRate,4,40,-0.01,0.0331,A0010
BreathRate,BreathRate,5,50,0.0306,0.0039,A0010
StressIndex,BreathRate,5,50,-0.0034,0.0172,A0010
Temperature,BreathRate,5,50,-0.0061,0.035,A0010
HeartRate,BreathRate,6,60,0.0096,0.0039,A0010
BreathRate,BreathRate,6,60,0.0472,0.0022,A0010
CO2,BreathRate,6,60,0.0121,0.006,A0010
TVOC,BreathRate,6,60,0.0125,0.0066,A0010
Activity_IR,CO2,1,10,0.1115,0.0,A0010
HeartRate,CO2,1,10,-0.0209,0.0003,A0010
StressIndex,CO2,1,10,0.0027,0.0002,A0010
Humidity,CO2,1,10,-0.005,0.0194,A0010
CO2,CO2,1,10,0.0614,0.0,A0010
TVOC,CO2,1,10,-0.0323,0.0095,A0010
Activity_IR,CO2,2,20,-0.0304,0.0092,A0010
HeartRate,CO2,2,20,0.0283,0.0065,A0010
StressIndex,CO2,2,20,0.0031,0.0453,A0010
CO2,CO2,2,20,-0.0052,0.0004,A0010
TVOC,CO2,2,20,0.026,0.0001,A0010
Activity_IR,CO2,3,30,-0.0066,0.0178,A0010
Temperature,CO2,3,30,0.0133,0.0041,A0010
CO2,CO2,3,30,0.0094,0.0001,A0010
TVOC,CO2,3,30,0.0353,0.0,A0010
Temperature,CO2,4,40,0.0007,0.0247,A0010
Humidity,CO2,4,40,-0.0174,0.0088,A0010
TVOC,CO2,4,40,0.0269,0.0329,A0010
CO2,CO2,5,50,0.0275,0.0262,A0010
Activity_IR,CO2,6,60,-0.0206,0.0137,A0010
BreathRate,CO2,6,60,0.0045,0.0088,A0010
Temperature,CO2,6,60,-0.0092,0.0291,A0010
CO2,CO2,6,60,-0.0102,0.0454,A0010
TVOC,CO2,6,60,-0.0038,0.0284,A0010
Risk_bin,CO2,6,60,-0.0056,0.0053,A0010
Activity_IR,HeartRate,1,10,0.0179,0.0002,A0010
HeartRate,HeartRate,1,10,0.3708,0.0,A0010
BreathRate,HeartRate,1,10,0.0735,0.0,A0010
StressIndex,HeartRate,1,10,-0.0261,0.0418,A0010
Temperature,HeartRate,1,10,0.0388,0.0024,A0010
Humidity,HeartRate,1,10,0.0199,0.0285,A0010
CO2,HeartRate,1,10,0.0223,0.0003,A0010
TVOC,HeartRate,1,10,0.0178,0.0003,A0010
Risk_bin,HeartRate,1,10,-0.0867,0.0,A0010
Activity_IR,HeartRate,2,20,-0.0268,0.004,A0010
HeartRate,HeartRate,2,20,0.1505,0.0,A0010
BreathRate,HeartRate,2,20,0.0376,0.0001,A0010
Temperature,HeartRate,2,20,0.012,0.0065,A0010
CO2,HeartRate,2,20,0.0195,0.0143,A0010
TVOC,HeartRate,2,20,-0.0058,0.0191,A0010
Risk_bin,HeartRate,2,20,0.0144,0.0095,A0010
HeartRate,HeartRate,3,30,0.0552,0.0009,A0010
BreathRate,HeartRate,3,30,-0.0464,0.0019,A0010
Humidity,HeartRate,3,30,-0.0029,0.0038,A0010
HeartRate,HeartRate,4,40,0.0527,0.0003,A0010
BreathRate,HeartRate,4,40,-0.0073,0.0051,A0010
Temperature,HeartRate,4,40,-0.0096,0.0372,A0010
Humidity,HeartRate,4,40,-0.007,0.0,A0010
CO2,HeartRate,4,40,-0.0093,0.014,A0010
TVOC,HeartRate,4,40,-0.005,0.0171,A0010
Risk_bin,HeartRate,4,40,-0.0167,0.0248,A0010
Activity_IR,HeartRate,5,50,-0.0013,0.0134,A0010
HeartRate,HeartRate,5,50,0.0118,0.0064,A0010
StressIndex,HeartRate,5,50,-0.0169,0.032,A0010
Humidity,HeartRate,5,50,0.0346,0.0002,A0010
CO2,HeartRate,5,50,0.0008,0.0081,A0010
TVOC,HeartRate,5,50,-0.0189,0.006,A0010
Activity_IR,HeartRate,6,60,0.0039,0.0069,A0010
HeartRate,HeartRate,6,60,0.0257,0.0359,A0010
Humidity,HeartRate,6,60,-0.0058,0.0225,A0010
CO2,HeartRate,6,60,-0.0221,0.0361,A0010
TVOC,HeartRate,6,60,-0.0147,0.0449,A0010
Activity_IR,Humidity,1,10,-0.0424,0.0001,A0010
BreathRate,Humidity,1,10,0.0079,0.0327,A0010
Temperature,Humidity,1,10,-0.1252,0.0,A0010
Humidity,Humidity,1,10,0.7105,0.0,A0010
CO2,Humidity,1,10,0.0948,0.0,A0010
TVOC,Humidity,1,10,0.0612,0.0,A0010
Activity_IR,Humidity,2,20,0.0279,0.001,A0010
StressIndex,Humidity,2,20,0.0172,0.0134,A0010
Temperature,Humidity,2,20,-0.0701,0.0002,A0010
Humidity,Humidity,2,20,-0.0388,0.0034,A0010
CO2,Humidity,2,20,0.0223,0.0221,A0010
TVOC,Humidity,2,20,0.0206,0.0194,A0010
Activity_IR,Humidity,3,30,0.0156,0.0328,A0010
Temperature,Humidity,3,30,0.0158,0.0332,A0010
Humidity,Humidity,3,30,0.0427,0.0085,A0010
CO2,Humidity,3,30,-0.0003,0.0045,A0010
TVOC,Humidity,3,30,-0.002,0.0037,A0010
HeartRate,Humidity,4,40,0.0059,0.0084,A0010
Temperature,Humidity,4,40,0.0301,0.0041,A0010
CO2,Humidity,4,40,0.028,0.045,A0010
TVOC,Humidity,4,40,0.0279,0.0475,A0010
StressIndex,Humidity,5,50,0.0233,0.0499,A0010
Temperature,Humidity,5,50,0.0379,0.0024,A0010
Humidity,Humidity,5,50,-0.0076,0.0102,A0010
Activity_IR,Humidity,6,60,-0.013,0.0085,A0010
HeartRate,Humidity,6,60,-0.0323,0.0049,A0010
StressIndex,Humidity,6,60,0.0404,0.0003,A0010
Temperature,Humidity,6,60,0.0126,0.0022,A0010
CO2,Humidity,6,60,0.0146,0.0149,A0010
TVOC,Humidity,6,60,0.0371,0.0057,A0010
HeartRate,Risk_bin,1,10,-0.0545,0.0241,A0010
BreathRate,Risk_bin,1,10,-0.0318,0.0067,A0010
StressIndex,Risk_bin,1,10,-0.0395,0.0022,A0010
Risk_bin,Risk_bin,1,10,0.3818,0.0,A0010
HeartRate,Risk_bin,2,20,-0.0092,0.0178,A0010
BreathRate,Risk_bin,2,20,-0.0098,0.0218,A0010
Temperature,Risk_bin,2,20,-0.0045,0.025,A0010
Risk_bin,Risk_bin,2,20,0.0918,0.0,A0010
BreathRate,Risk_bin,3,30,0.031,0.0074,A0010
StressIndex,Risk_bin,3,30,-0.0332,0.0042,A0010
CO2,Risk_bin,3,30,-0.0101,0.0182,A0010
TVOC,Risk_bin,3,30,-0.009,0.0331,A0010
Risk_bin,Risk_bin,3,30,0.0335,0.0,A0010
BreathRate,Risk_bin,4,40,0.0033,0.002,A0010
Temperature,Risk_bin,4,40,-0.0153,0.0091,A0010
BreathRate,Risk_bin,5,50,-0.0012,0.0456,A0010
StressIndex,Risk_bin,5,50,-0.0349,0.0287,A0010
Risk_bin,Risk_bin,5,50,0.0139,0.0092,A0010
BreathRate,Risk_bin,6,60,0.0042,0.0359,A0010
Risk_bin,Risk_bin,6,60,0.0438,0.0001,A0010
HeartRate,StressIndex,1,10,-0.0533,0.0027,A0010
StressIndex,StressIndex,1,10,0.242,0.0,A0010
CO2,StressIndex,1,10,-0.0001,0.044,A0010
TVOC,StressIndex,1,10,-0.0007,0.0404,A0010
Risk_bin,StressIndex,1,10,-0.0386,0.0029,A0010
Activity_IR,StressIndex,2,20,0.0177,0.0493,A0010
HeartRate,StressIndex,2,20,-0.0366,0.0089,A0010
StressIndex,StressIndex,2,20,0.1375,0.0,A0010
Risk_bin,StressIndex,2,20,-0.0303,0.0038,A0010
StressIndex,StressIndex,3,30,0.0763,0.0001,A0010
HeartRate,StressIndex,4,40,-0.0024,0.0434,A0010
BreathRate,StressIndex,4,40,-0.0041,0.0101,A0010
StressIndex,StressIndex,4,40,0.0403,0.0011,A0010
TVOC,StressIndex,4,40,0.0026,0.0467,A0010
Risk_bin,StressIndex,4,40,-0.0051,0.0102,A0010
BreathRate,StressIndex,5,50,0.01,0.0322,A0010
StressIndex,StressIndex,5,50,0.0558,0.0019,A0010
Temperature,StressIndex,5,50,-0.0049,0.0443,A0010
Activity_IR,StressIndex,6,60,-0.0196,0.0115,A0010
HeartRate,StressIndex,6,60,-0.0138,0.0124,A0010
StressIndex,StressIndex,6,60,0.0242,0.0142,A0010
Temperature,StressIndex,6,60,-0.0049,0.031,A0010
TVOC,StressIndex,6,60,-0.0113,0.0407,A0010
Risk_bin,StressIndex,6,60,-0.0235,0.0026,A0010
Activity_IR,TVOC,1,10,0.1101,0.0,A0010
HeartRate,TVOC,1,10,-0.024,0.0001,A0010
StressIndex,TVOC,1,10,0.0039,0.0005,A0010
Humidity,TVOC,1,10,-0.0066,0.0238,A0010
CO2,TVOC,1,10,0.0669,0.0,A0010
TVOC,TVOC,1,10,-0.0142,0.0183,A0010
Activity_IR,TVOC,2,20,-0.0335,0.0074,A0010
HeartRate,TVOC,2,20,0.0273,0.0059,A0010
CO2,TVOC,2,20,-0.0088,0.0001,A0010
TVOC,TVOC,2,20,0.0299,0.0,A0010
Activity_IR,TVOC,3,30,-0.0065,0.022,A0010
Temperature,TVOC,3,30,0.0128,0.002,A0010
CO2,TVOC,3,30,0.0043,0.0,A0010
TVOC,TVOC,3,30,0.0351,0.0,A0010
Temperature,TVOC,4,40,-0.0014,0.0496,A0010
Humidity,TVOC,4,40,-0.0232,0.0206,A0010
TVOC,TVOC,4,40,0.0228,0.042,A0010
BreathRate,TVOC,5,50,-0.0281,0.0447,A0010
CO2,TVOC,5,50,0.0255,0.0424,A0010
Activity_IR,TVOC,6,60,-0.0197,0.0129,A0010
BreathRate,TVOC,6,60,0.0028,0.0088,A0010
Temperature,TVOC,6,60,-0.0094,0.035,A0010
TVOC,TVOC,6,60,-0.0048,0.0341,A0010
Risk_bin,TVOC,6,60,-0.0048,0.0077,A0010
Activity_IR,Temperature,1,10,0.0844,0.0,A0010
HeartRate,Temperature,1,10,-0.0103,0.0335,A0010
Temperature,Temperature,1,10,0.802,0.0,A0010
Humidity,Temperature,1,10,0.0738,0.0,A0010
CO2,Temperature,1,10,0.0474,0.0134,A0010
TVOC,Temperature,1,10,0.0426,0.0165,A0010
Activity_IR,Temperature,2,20,-0.0615,0.0022,A0010
HeartRate,Temperature,2,20,-0.0138,0.0368,A0010
StressIndex,Temperature,2,20,0.0219,0.0479,A0010
Temperature,Temperature,2,20,-0.2422,0.0,A0010
CO2,Temperature,2,20,-0.0096,0.0493,A0010
TVOC,Temperature,2,20,0.0045,0.0294,A0010
Temperature,Temperature,3,30,0.0005,0.008,A0010
CO2,Temperature,3,30,-0.0097,0.0062,A0010
TVOC,Temperature,3,30,0.0117,0.0013,A0010
Activity_IR,Temperature,4,40,-0.0059,0.0318,A0010
BreathRate,Temperature,4,40,0.0078,0.0125,A0010
Humidity,Temperature,4,40,0.0074,0.0145,A0010
CO2,Temperature,4,40,0.0372,0.0,A0010
TVOC,Temperature,4,40,-0.0031,0.0,A0010
HeartRate,Temperature,5,50,0.0193,0.0026,A0010
StressIndex,Temperature,5,50,-0.0403,0.0161,A0010
CO2,Temperature,5,50,-0.0152,0.0047,A0010
TVOC,Temperature,5,50,-0.038,0.0053,A0010
HeartRate,Temperature,6,60,0.0243,0.0072,A0010
Risk_bin,Temperature,6,60,-0.0262,0.0227,A0010
Activity_IR,Activity_IR,1,10,0.4387,0.0,A0012
HeartRate,Activity_IR,1,10,0.0132,0.0151,A0012
Humidity,Activity_IR,1,10,-0.0348,0.0042,A0012
CO2,Activity_IR,1,10,-0.0924,0.0,A0012
TVOC,Activity_IR,1,10,-0.0379,0.0,A0012
Risk_bin,Activity_IR,1,10,-0.0492,0.0177,A0012
Activity_IR,Activity_IR,2,20,-0.0009,0.0,A0012
Temperature,Activity_IR,2,20,0.0308,0.0392,A0012
Humidity,Activity_IR,2,20,-0.04,0.0021,A0012
CO2,Activity_IR,2,20,-0.0223,0.008,A0012
TVOC,Activity_IR,2,20,-0.0227,0.0073,A0012
Activity_IR,Activity_IR,3,30,0.0591,0.0005,A0012
HeartRate,Activity_IR,3,30,0.0216,0.0146,A0012
Humidity,Activity_IR,3,30,0.0399,0.0028,A0012
CO2,Activity_IR,3,30,0.0062,0.0428,A0012
TVOC,Activity_IR,3,30,-0.009,0.0191,A0012
Activity_IR,Activity_IR,4,40,0.0118,0.0,A0012
HeartRate,Activity_IR,4,40,0.0254,0.0083,A0012
BreathRate,Activity_IR,4,40,0.0416,0.012,A0012
Temperature,Activity_IR,4,40,0.0275,0.0373,A0012
Humidity,Activity_IR,4,40,-0.0042,0.0184,A0012
CO2,Activity_IR,4,40,0.0291,0.0404,A0012
TVOC,Activity_IR,4,40,0.0248,0.037,A0012
Activity_IR,Activity_IR,5,50,0.0272,0.0057,A0012
Humidity,Activity_IR,5,50,-0.0144,0.0207,A0012
CO2,Activity_IR,5,50,0.0398,0.0249,A0012
TVOC,Activity_IR,5,50,0.0366,0.0242,A0012
Activity_IR,Activity_IR,6,60,-0.0092,0.0084,A0012
HeartRate,Activity_IR,6,60,-0.0199,0.0252,A0012
BreathRate,Activity_IR,6,60,0.0214,0.021,A0012
Humidity,Activity_IR,6,60,-0.0081,0.0135,A0012
CO2,Activity_IR,6,60,0.0548,0.0403,A0012
TVOC,Activity_IR,6,60,-0.0053,0.0287,A0012
Risk_bin,Activity_IR,6,60,-0.0401,0.0178,A0012
Activity_IR,BreathRate,1,10,0.0284,0.0388,A0012
HeartRate,BreathRate,1,10,0.0407,0.002,A0012
BreathRate,BreathRate,1,10,0.4061,0.0,A0012
Temperature,BreathRate,1,10,-0.0028,0.0446,A0012
HeartRate,BreathRate,2,20,0.0234,0.0309,A0012
BreathRate,BreathRate,2,20,0.0261,0.0003,A0012
HeartRate,BreathRate,3,30,0.0238,0.011,A0012
BreathRate,BreathRate,3,30,0.055,0.0001,A0012
StressIndex,BreathRate,3,30,-0.0385,0.0051,A0012
Humidity,BreathRate,3,30,-0.0161,0.0121,A0012
Temperature,BreathRate,4,40,0.0169,0.0224,A0012
HeartRate,BreathRate,5,50,0.001,0.0112,A0012
Humidity,BreathRate,5,50,0.0328,0.041,A0012
CO2,BreathRate,5,50,0.003,0.0284,A0012
TVOC,BreathRate,5,50,0.0009,0.0319,A0012
BreathRate,BreathRate,6,60,0.0333,0.0263,A0012
StressIndex,BreathRate,6,60,0.0111,0.0324,A0012
Humidity,BreathRate,6,60,0.0238,0.0145,A0012
Risk_bin,BreathRate,6,60,0.0096,0.0166,A0012
Activity_IR,CO2,1,10,0.168,0.0,A0012
Temperature,CO2,1,10,0.0279,0.0014,A0012
Humidity,CO2,1,10,0.0163,0.0126,A0012
CO2,CO2,1,10,-0.066,0.0059,A0012
TVOC,CO2,1,10,-0.0684,0.0106,A0012
Activity_IR,CO2,2,20,-0.055,0.0083,A0012
HeartRate,CO2,2,20,0.0133,0.0297,A0012
StressIndex,CO2,2,20,0.0442,0.0017,A0012
Activity_IR,CO2,3,30,-0.0371,0.0044,A0012
HeartRate,CO2,3,30,-0.0287,0.0092,A0012
BreathRate,CO2,3,30,-0.03,0.0445,A0012
Humidity,CO2,3,30,-0.0272,0.0482,A0012
CO2,CO2,3,30,0.0236,0.0011,A0012
TVOC,CO2,3,30,0.0144,0.0016,A0012
Risk_bin,CO2,3,30,-0.0314,0.0214,A0012
Activity_IR,CO2,4,40,-0.0171,0.0002,A0012
BreathRate,CO2,4,40,0.0008,0.0493,A0012
StressIndex,CO2,4,40,0.0178,0.0436,A0012
Humidity,CO2,4,40,0.0014,0.0092,A0012
CO2,CO2,4,40,0.0118,0.0052,A0012
TVOC,CO2,4,40,-0.0305,0.032,A0012
Activity_IR,CO2,5,50,0.0209,0.0,A0012
Temperature,CO2,5,50,-0.0025,0.0149,A0012
Humidity,CO2,5,50,0.0138,0.0464,A0012
CO2,CO2,5,50,-0.0008,0.0138,A0012
TVOC,CO2,5,50,-0.0054,0.0034,A0012
Activity_IR,CO2,6,60,-0.0548,0.001,A0012
HeartRate,CO2,6,60,-0.0221,0.0218,A0012
Temperature,CO2,6,60,-0.0257,0.0356,A0012
Humidity,CO2,6,60,-0.0309,0.0239,A0012
CO2,CO2,6,60,0.0362,0.0007,A0012
TVOC,CO2,6,60,-0.0202,0.0116,A0012
Activity_IR,HeartRate,1,10,0.0366,0.0,A0012
HeartRate,HeartRate,1,10,0.4408,0.0,A0012
BreathRate,HeartRate,1,10,0.0431,0.022,A0012
Temperature,HeartRate,1,10,0.0034,0.0401,A0012
Humidity,HeartRate,1,10,0.0062,0.0048,A0012
CO2,HeartRate,1,10,0.0445,0.001,A0012
TVOC,HeartRate,1,10,0.0118,0.0176,A0012
Risk_bin,HeartRate,1,10,-0.032,0.0012,A0012
HeartRate,HeartRate,2,20,0.0938,0.0,A0012
BreathRate,HeartRate,2,20,0.0132,0.0286,A0012
Humidity,HeartRate,2,20,0.0131,0.0039,A0012
CO2,HeartRate,2,20,0.0349,0.0207,A0012
TVOC,HeartRate,2,20,0.0368,0.022,A0012
Risk_bin,HeartRate,2,20,-0.0255,0.0194,A0012
Activity_IR,HeartRate,3,30,-0.0098,0.0006,A0012
HeartRate,HeartRate,3,30,0.0924,0.0001,A0012
CO2,HeartRate,3,30,-0.0105,0.0124,A0012
TVOC,HeartRate,3,30,-0.0479,0.006,A0012
Risk_bin,HeartRate,3,30,0.0017,0.0323,A0012
HeartRate,HeartRate,4,40,0.0069,0.0059,A0012
Humidity,HeartRate,4,40,0.0075,0.0332,A0012
CO2,HeartRate,4,40,0.0221,0.03,A0012
TVOC,HeartRate,4,40,0.0209,0.0226,A0012
HeartRate,HeartRate,5,50,0.0562,0.0,A0012
BreathRate,HeartRate,5,50,-0.0003,0.0174,A0012
Humidity,HeartRate,5,50,0.0173,0.0071,A0012
Risk_bin,HeartRate,5,50,0.0282,0.0279,A0012
Activity_IR,HeartRate,6,60,0.0395,0.0358,A0012
HeartRate,HeartRate,6,60,-0.0373,0.0,A0012
StressIndex,HeartRate,6,60,-0.0141,0.0499,A0012
Humidity,HeartRate,6,60,-0.0137,0.0287,A0012
TVOC,HeartRate,6,60,0.0291,0.0444,A0012
Risk_bin,HeartRate,6,60,0.0137,0.016,A0012
Activity_IR,Humidity,1,10,-0.0444,0.0015,A0012
Temperature,Humidity,1,10,-0.1542,0.0,A0012
Humidity,Humidity,1,10,0.664,0.0,A0012
CO2,Humidity,1,10,0.0331,0.0004,A0012
TVOC,Humidity,1,10,0.0304,0.0019,A0012
Risk_bin,Humidity,1,10,0.0114,0.0402,A0012
